date,store_name,rating,text,sentiment,sentiment_score,topic,topic_score
2026-04-27,Lululemon Robson Street Vancouver,2,"not much to see and shop. didn't have what i saw online.. although this is the biggest store in vancouver.
the employees at the fitting room were not friendly as well; not planning to visit again",NEGATIVE,0.5466277003288269,Store experience,0.5923042893409729
2026-04-27,Lululemon Robson Street Vancouver,5,"Most of my wardrobe is Lulu because they have clothing and apparel for any occasion. For me, comfort & convenience is priority, whether working out or going out for the evening. I haven't purchased a pair of jeans, ""slacks"", dress shirts, or even blazers by any other brands in well over a decade because I know I can rely on high quality merch that's easy to wear & will last long. With such a selection, I've continued to refresh my look with ABC pants, seasonal tops, and workout gear, knowing I'll have the same comfort & fits. With plenty of styles, colors, and materials to choose from, it's easy to keep my style fresh every time I add a new piece.
The Robson location is the only store I ever shop in the flesh because I can just as easily follow the ""We Made Too Much"" category online for sales on different colors & materials of what I know will fit already, plus lots of bonus Aeroplan points!
At this location, it really seems like each staff member enjoy their jobs. I don't think they could fake their consistently exceptional customer service! The occasions I go in alone, the staff are always flying around helping with sizes, etc... So what I appreciate the most in this store are the honest opinions from whoever is helping me in the fitting room area. If it doesn't look right, they will come up with another option, but when they give me a green light, I can feel confident with my purchases. Their return/exchange policies for members are the easiest I've experienced. Their turn around time with alterations is never more than five days, & often less. It's an uplifting, above & beyond experience, from their greeters to the till👌😊",POSITIVE,0.4725326895713806,Product quality,0.5081887245178223
2026-04-27,Lululemon Robson Street Vancouver,1,"Prices higher than ever and quality is worse than ever! Will be going anywhere else next time. You must have to be “invited” to review items because I can’t find a way to write one on the website. HOWEVER when I filter for lowest ratings, so many people experiencing the exact same issues as me- uncomfortable, riding up, material is no good. This is not it, and I’m sorry I gave them another chance, the good quality days are gone.",NEGATIVE,0.8099210262298584,Pricing,0.7223486304283142
2026-04-27,Lululemon Robson Street Vancouver,5,"I honestly don’t even know how many Lululemon pieces I have, I usually order online, but this location is my absolute favourite when I want to shop in person. The staff are incredibly friendly and welcoming, and they always have everything you need to try on or purchase. Keep shining, Lululemon! ✨",POSITIVE,0.9410830140113832,Store experience,0.40306970477104187
2026-04-27,Lululemon Robson Street Vancouver,5,"Today, my wanderings took me to a place I don't usually go .
Lululemon.
Yeah, I know.
Me, a guy who's practically colorblind and has zero patience for shopping, stepping into the world of athletic wear. My mission? A few shirts.
My usual experience in these places? A test of endurance.
My eyes glazing over different shades of light green and light blue.
ready to just find a quiet corner somewhere. And that’s when Natalie ask me if I need any help .
I think she saw the quiet frustration in my eyes .
The unspoken plea of a man who just wanted to buy some damn shirts and get out.
She moved with the precision of a seasoned guide, pulling options, getting the colors right and done .
before I could even fully register what was happening.
In and out.
A surgical strike. Natalie, you're a godsend.
You made what I expected to be a chore into a surprisingly pleasant experience.
So, if you find yourself at Lululemon, and you're not entirely sure where to begin, seek out Natali.
I will return that’s for sure.",NEGATIVE,0.294646680355072,Store experience,0.326331228017807
2026-04-27,Lululemon Georgia Street Pacific Centre Vancouver,5,The customer service was excellent; Majo helped me find a warm sweater to keep me cozy. She listened to what I needed and picked out a couple of pieces for me to try. It was a fantastic shopping experience with her assistance.,POSITIVE,0.6720484495162964,Customer service,0.8428739905357361
2026-04-27,Lululemon Georgia Street Pacific Centre Vancouver,5,"Exceptional service - Franklin and Gracia.

Went above and beyond, grabbed items from the mannequin for me. Helped me pick out the T-shirt as well (they all look the same to me lmao, but the fabrics are different which is important when selecting for your needs - thank you for the assistance).

Ended up purchasing 7"" shorts from Alo and 5"" shorts from Lululemon. Lululemon culture/and QC was significantly better. After checking the items at home, quality and consistency was SIGNIFICANTLY better at Lululemon.

I had wanted to check Alo (currently privately held company, could potentially look to go public to scale IMO), to see if the rumors regarding their effort and respect were justified. I was shocked. You have to do due diligence when shopping at Alo, (or just purchase from Lululemon IMO). I had asked for a specific color that they ""had in the back"", I came home and noticed a pin through the fabric, and the Alo tag marked up - which I should have checked). Unacceptable, especially for shorts over $100.

Lululemon was impressive. Not the same experience at Alo. First time there, no relation to the companies. Not a Lululemon shareholder (although I might consider it now lmao), or ever was.",POSITIVE,0.767282247543335,Customer service,0.5472479462623596
2026-04-27,Lululemon Georgia Street Pacific Centre Vancouver,1,"Absolutely ridiculous experience at Lululemon. One pant leg is a full 2 inches longer than the other!

I reached out for support after just a few weeks of owning them, and here’s the response they hit me with:

“Based on the photos provided, your product is not showing any signs of any quality issues or defects…”

Excuse me? Two pant legs not matching is apparently normal now?

Safe to say I won’t be shopping here again.

Future shoppers: bring a measuring tape with you unless you want to DIY tailor your overpriced athleisure.",NEGATIVE,0.9226634502410888,Store experience,0.3567959666252136
2026-04-27,Lululemon Georgia Street Pacific Centre Vancouver,1,"On January 14th I was at your Pacific Centre location with my wife and young son. I normally shop at your Burrard location.

I walked in and tried to look around on my own. There were two staff members, but instead of helping customers they were chatting with each other and trying things on in front of the mirror. We didn’t even hear a simple “hello” or “welcome.” They just kept talking to each other.

I was there at around 4:14 PM and since no one paid attention to us, we left and went to the Burrard location instead.

It’s the same brand but two completely different customer service experiences. Burrard staff are amazing and very attentive, but this location doesn’t reflect Lululemon at all actually, it felt like there was no customer service.",NEGATIVE,0.3747822642326355,Store experience,0.5056044459342957
2026-04-27,Lululemon Georgia Street Pacific Centre Vancouver,5,"I came to the temporary Pacific Centre location to return an item I originally purchased from the Robson store. Because it had been an exchange, the refund wasn’t straightforward, but the associate there (a woman with long black hair) was incredibly kind and patient. Even though she couldn’t process the refund directly, she genuinely tried to figure out a solution and handled everything with a great attitude.

I did end up going back to the Robson location to complete the refund, and unfortunately the customer service there was very disappointing and honestly ruined my evening.

That said, the experience at the Pacific Centre location made a big difference. The kindness and effort from the associate there really stood out and helped balance out an otherwise frustrating situation.",NEGATIVE,0.4070050120353699,Customer service,0.3510144054889679
